Eyeplex Mall, Indian Embassy, Labim Mall, Kasthamandap Boutique Hotel, Lord Of The Drinks, Babar Mahal Villas, Santaneshwor Mahadev, City Centre, Arushi Boutique hotel, Nagpokhari, New Baneshwar, Swayambunath Temple, Military museum, Boudhanath Temple, Chisapani, The millionaire's club and casino, Jhamshikhel, Sherpa Mall, Garden Of Dreams, Royal Empire Boutique Hotel, Jamal, NewRoad, Naxal, Kamalpokhari, Thamel Market, Birendra Park, Bhaktapur Durbar Square, Durbar Square Patan, Kalikasthan Temple, Mahadevsthan Temple, Club Déjà vu, Tu Teaching Hospital, Nilbarahi, Kashmeeree jama masjid, Buddhanilkantha, Naya bus park, Narayanhiti palace museum, Chovar, British Embassy, Godawari, Purple Haze RockBar, Kathmandu Durbar Square, Bhasmashur Danda, Pilot Baba Ashram, Tribhuvan Internation Airport, Nagdaha, Om Hospital, RaniPokhari, Embassy of Japan, Royal Nepal Golf Course, Shankhadhar Park, SiddhaPokhari, National history Museum, Casino Mahjong, Bhadrakali Temple, Chandragiri Temple, Lazimpat, Casino Royale, Kasthamandap, Aviation Museum, Dharhara, Ason, Kathmandu Funpark, The last resort,,,,,,,,,,
Naxal, Chisapani, Civil Mall, NewRoad, Kathmandu Boutique Hotel, Casino Mahjong, Military museum, Durbar Square Patan, Kapan Gumba, Dharhara, Casino Royale, Nepal mediciti Hospital, Sankha Park, Buddhanilkantha, Sherpa Mall, Sukute Beach, Om Hospital, Nepal Pavillion Inn, Maitidevi Temple, Bhasmashur Danda, Nilbarahi, Mahadevsthan Temple, Narayanhiti palace museum, National museum, Durbarmarg, Lainchour, Aviation Museum, Club Déjà vu, Jawlakhel, Ason, Nagpokhari, Ratnapark, Daman, Thamel Market, Embassy of Switzerland, Gokarna Golf Course, Casino place, Eyeplex Mall, The millionaire's club and casino, Club Platinium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ratnapark, Kasthamandap, Naxal, Birendra Park, National museum, Changunarayan Temple, Pashupatinath Temple, National history Museum, Jame Masjid, Chandragiri Temple, Club Platinium, SiddhaPokhari, The millionaire's club and casino, Durbarmarg, NewRoad, Taudaha, Bajrabarahi, Civil Service Hospital, Central Zoo, 1Durbar Mall, Lord Of The Drinks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shivapuri, Narayanhiti palace museum, Buddhanilkantha, New Baneshwar, Ason, Kathmandu Durbar Square, Eyeplex Mall, Nagarkot, Gokarna Golf Course, Kamalpokhari, Embassy of Germany, Bhadrakali Temple, Kathmandu Boutique Hotel, Suryabinayak Ganesh Temple, US embassy, Tribhuvan Internation Airport, Krishna Mandir, Kathmandu Funpark, Nagpokhari, Embassy of Switzerland, Lord Of The Drinks, Casino Royale, Maya Manor Boutique Hotel, Kapan Gumba, RaniPokhari, Purple Haze RockBar, Sukute Beach, Kasthamandap Boutique Hotel, Trisara, Royal Empire Boutique Hotel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Godawari, National museum, Daman, Taudaha, Shankhadhar Park, Maitidevi Temple, 1Durbar Mall, Narayanhiti palace museum, Pashupatinath Temple, Kamladi Ganeshthan Temple, Ason, Royal Nepal Golf Course, Nepal police hospital, The last resort, Nagpokhari, Ratnapark, Nagdaha, Kathmandu Fun Valley, Birendra Park, Purple Haze RockBar, Thamel Market, SiddhaPokhari, Kashmeeree jama masjid, Jame Masjid, Chovar, Champadevi, Durbarmarg, Arushi Boutique hotel, Mahadevsthan Temple, Swayambunath Temple, Jawlakhel, Royal Empire Boutique Hotel, Labim Mall, Bhasmashur Danda, Central Zoo, Tribhuvan Park, Changunarayan Temple, RaniPokhari, US embassy, Om Hospital, Chandragiri hills, Gokarna Golf Course, National history Museum, Casino Mahjong, Naya bus park, Babar Mahal Villas, Buddhanilkantha, Embassy of Japan, Tribhuvan Internation Airport, Club Déjà vu,,,,,,,,,,,,,,,,,,,,,,,,
Jame Masjid, Lainchour, Naxal, Kamladi Ganeshthan Temple, Bhadrakali Temple, Jhamshikhel, SiddhaPokhari, Kathmandu Funpark, Casino Mahjong, British Embassy, Ghantaghar, Labim Mall, Kathmandu Durbar Square, Taudaha, Aviation Museum, Bhaktapur Durbar Square, Royal Empire Boutique Hotel, Santaneshwor Mahadev, The millionaire's club and casino, Jamal, Nagarkot, Suryabinayak Ganesh Temple, Maitidevi Temple, Buddhanilkantha, Shivapuri, Kapan Gumba, New Baneshwar, Purple Haze RockBar, Club Déjà vu, Thamel Market, Central Zoo, The last resort, Embassy of Switzerland, Chandragiri hills, Chovar, Om Hospital, Narayanhiti palace museum, Military museum, Trisara, Maya Manor Boutique Hotel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Royal Nepal Golf Course, Buddhanilkantha, Babar Mahal Villas, Tu Teaching Hospital, Freak street, Garden Of Dreams, Civil Service Hospital, Embassy of Germany, Boudhanath Temple, National museum, SiddhaPokhari, 1Durbar Mall, Dhulikhel Zipline, Naya bus park, Pilot Baba Ashram, Lazimpat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chandragiri Temple, Santaneshwor Mahadev, Kalikasthan Temple, Naxal, Kamalpokhari, Garden Of Dreams, Jamal, Civil Service Hospital, Kapan Gumba, Om Hospital, Ason, Bajrabarahi, Casino Mahjong, Thamel Market, Kasthamandap, Shivapuri, Tribhuvan Park, National museum, NewRoad, Dhulikhel Zipline, Sukute Beach, Pilot Baba Ashram, Eyeplex Mall, Shankhadhar Park, Durbarmarg, Kathmandu Boutique Hotel, Fulchowki, Boudhanath Temple, Taudaha, Trisara, Chovar, Godawari, Casino place, Ratnapark, British Embassy, Narayanhiti palace museum, Freak street, Nagpokhari, Jame Masjid, Lazimpat, Whoopee land amusement park, Indian Embassy, Ghantaghar, Champadevi, Bhadrakali Temple, Royal Nepal Golf Course, Pashupatinath Temple, Kathmandu Fun Valley, Babar Mahal Villas, Nepal Pavillion Inn, Sherpa Mall, Central Zoo, Sankha Park, National history Museum, RaniPokhari, New Baneshwar, Embassy of Germany, Buddhanilkantha, Tribhuvan Internation Airport, The last resort, Civil Mall, Kasthamandap Boutique Hotel, The millionaire's club and casino, Chisapani, Kathmandu Durbar Square, Tu Teaching Hospital, Durbar Square Patan, Royal Empire Boutique Hotel, Kathmandu Funpark, US embassy,,,,
Ratnapark, Jame Masjid, Casino Mahjong, Bhasmashur Danda, Kathmandu Durbar Square, Eyeplex Mall, Bhaktapur Durbar Square, New Baneshwar, Naxal, Nagarkot, Swayambunath Temple, Maitidevi Temple, Jawlakhel, Lord Of The Drinks, Kalikasthan Temple, Naya bus park, City Centre, Fulchowki, Nepal Pavillion Inn, Kamladi Ganeshthan Temple, Chisapani, Babar Mahal Villas, Casino place, Kapan Gumba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Babar Mahal Villas, Daman, Kathmandu Funpark, Embassy of Switzerland, Bhaktapur Durbar Square, Jawlakhel, Lazimpat, Suryabinayak Ganesh Temple, Labim Mall, Maitidevi Temple, Casino Mahjong, Narayanhiti palace museum, Gokarna Golf Course, Chandragiri Temple, Whoopee land amusement park, Kapan Gumba, Kalikasthan Temple, Casino Royale, Om Hospital, Ghantaghar, City Centre, Birendra Park, Tribhuvan Park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kasthamandap Boutique Hotel, Club Platinium, Jame Masjid, Dharhara, Kathmandu Funpark, Chisapani, National history Museum, Daman, Embassy of Germany, Nepal mediciti Hospital, Durbarmarg, Jhamshikhel, 1Durbar Mall, Ratnapark, Santaneshwor Mahadev, City Centre, Central Zoo, Tribhuvan Park, Kathmandu Fun Valley, Fulchowki, Lord Of The Drinks, Civil Mall, Taudaha, Jawlakhel, Military museum, The millionaire's club and casino, Pilot Baba Ashram, Dhulikhel Zipline, Arushi Boutique hotel, Maya Manor Boutique Hotel, Bhadrakali Temple, Nagarkot, Nagdaha, Naxal, Kalikasthan Temple, Ghantaghar, Lainchour, Nepal Pavillion Inn, The last resort, US embassy, Godawari, Shankhadhar Park, Casino Mahjong, Bhaktapur Durbar Square, Om Hospital, New Baneshwar, Sukute Beach, Kashmeeree jama masjid,,,,,,,,,,,,,,,,,,,,,,,,,,
Garden Of Dreams, Indian Embassy, Jawlakhel, Maitidevi Temple, Kamalpokhari, Lainchour, Bhasmashur Danda, Kapan Gumba, Military museum, Durbar Square Patan, Bhaktapur Durbar Square, Civil Service Hospital, 1Durbar Mall, Buddhanilkantha, Kashmeeree jama masjid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The millionaire's club and casino, Om Hospital, NewRoad, Jawlakhel, Nepal Pavillion Inn, National museum, Kathmandu Fun Valley, Nepal police hospital, Kasthamandap, Garden Of Dreams, Ratnapark, Civil Mall, Nepal mediciti Hospital, Kalikasthan Temple, Swayambunath Temple, Thamel Market, Embassy of Germany, Maya Manor Boutique Hotel, Pashupatinath Temple, Santaneshwor Mahadev, Royal Nepal Golf Course, Champadevi, Embassy of Switzerland, Trisara, Kasthamandap Boutique Hotel, Sankha Park, Kapan Gumba, Suryabinayak Ganesh Temple, Freak street, Bhaktapur Durbar Square, Nilbarahi, Boudhanath Temple, Fulchowki, Kamladi Ganeshthan Temple, New Baneshwar, Daman, Casino place, Mahadevsthan Temple, National history Museum, Ason, Casino Royale, Military museum, Nagarkot, Krishna Mandir, Tribhuvan Internation Airport, Birendra Park, Bhasmashur Danda, Chovar, Kamalpokhari, Buddhanilkantha, Naxal, Jame Masjid, Godawari, British Embassy, Bajrabarahi, Eyeplex Mall, Lainchour, Lazimpat, Tu Teaching Hospital,,,,,,,,,,,,,,,
Bajrabarahi, Gokarna Golf Course, Tribhuvan Park, Pashupatinath Temple, Royal Nepal Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lainchour, Ratnapark, Royal Nepal Golf Course, Embassy of Germany, Sukute Beach, Bhadrakali Temple, Bhaktapur Durbar Square, Garden Of Dreams, Central Zoo, Jhamshikhel, The millionaire's club and casino, Buddhanilkantha, Daman, Purple Haze RockBar, Eyeplex Mall, Casino place, Tu Teaching Hospital, US embassy, Whoopee land amusement park, Kashmeeree jama masjid, Kasthamandap, Pilot Baba Ashram, Labim Mall, Changunarayan Temple, National museum, Lazimpat, Thamel Market, Bajrabarahi, Nepal mediciti Hospital, Nilbarahi, Civil Service Hospital, RaniPokhari, Boudhanath Temple, Tribhuvan Park, Trisara, Shivapuri, 1Durbar Mall, British Embassy, Krishna Mandir, National history Museum, Nagpokhari, Kathmandu Funpark, The last resort, Gokarna Golf Course, Club Platinium, Birendra Park, Chovar, Santaneshwor Mahadev, Ghantaghar, Suryabinayak Ganesh Temple, Swayambunath Temple,,,,,,,,,,,,,,,,,,,,,,,
Mahadevsthan Temple, Lainchour, Bhaktapur Durbar Square, Jame Masjid, Durbarmarg, Civil Service Hospital, Sankha Park, Chovar, Casino Royale, British Embassy, Taudaha, Ason, The last resort, Maitidevi Temple, Royal Empire Boutique Hotel, Pilot Baba Ashram, Lazimpat, RaniPokhari, Jamal, Military museum, Kamladi Ganeshthan Temple, Swayambunath Temple, City Centre, Eyeplex Mall, Kamalpokhari, Chisapani, Central Zoo, Sherpa Mall, Tu Teaching Hospital, Kasthamandap Boutique Hotel, Krishna Mandir, Kathmandu Boutique Hotel, US embassy, Embassy of Japan, Kathmandu Funpark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Embassy of Japan, Kamalpokhari, US embassy, Gokarna Golf Course, Pilot Baba Ashram, Chandragiri Temple, Buddhanilkantha, Lord Of The Drinks, Tribhuvan Park, Nagdaha, Mahadevsthan Temple, Durbar Square Patan, Boudhanath Temple, Dharhara, Civil Service Hospital, Garden Of Dreams, Arushi Boutique hotel, Nepal mediciti Hospital, Indian Embassy, British Embassy, Embassy of Switzerland, Labim Mall, Kasthamandap, Chovar, Shankhadhar Park, Jhamshikhel, Fulchowki, Club Déjà vu, Eyeplex Mall, Casino Mahjong, Changunarayan Temple, Maya Manor Boutique Hotel, Chisapani, Kathmandu Durbar Square, Nagpokhari, Ason, City Centre, Civil Mall, Bajrabarahi, Pashupatinath Temple, Whoopee land amusement park, Kathmandu Boutique Hotel, Taudaha, Suryabinayak Ganesh Temple, Nilbarahi, Daman, Dhulikhel Zipline, Durbarmarg, Casino place, Bhadrakali Temple, Krishna Mandir, Naxal, NewRoad, Kathmandu Fun Valley, Sherpa Mall, Nagarkot, Jawlakhel, Chandragiri hills, Shivapuri, Champadevi, Royal Nepal Golf Course, Lazimpat, Tribhuvan Internation Airport, Freak street, Kasthamandap Boutique Hotel,,,,,,,,,
Nagdaha, Royal Nepal Golf Course, Freak street, Tribhuvan Park, Boudhanath Temple, Ghantaghar, Royal Empire Boutique Hotel, Maya Manor Boutique Hotel, Embassy of Germany, Changunarayan Temple, Sukute Beach, Pilot Baba Ashram, Kasthamandap, Chisapani, National history Museum, Naxal, Kathmandu Fun Valley, Narayanhiti palace museum, Kashmeeree jama masjid, Indian Embassy, Godawari, Trisara, RaniPokhari, Club Platinium, Jamal, Embassy of Switzerland, Swayambunath Temple, SiddhaPokhari, Sankha Park, Labim Mall, Suryabinayak Ganesh Temple, Civil Service Hospital, Military museum, Dharhara, Nilbarahi, Aviation Museum, Santaneshwor Mahadev, City Centre, Durbar Square Patan, Garden Of Dreams, Bhadrakali Temple, Embassy of Japan, Thamel Market, Casino Mahjong, Nagpokhari, British Embassy, Bhaktapur Durbar Square, Eyeplex Mall, Kalikasthan Temple,,,,,,,,,,,,,,,,,,,,,,,,,
Indian Embassy, Kathmandu Fun Valley, Aviation Museum, New Baneshwar, Military museum, Nilbarahi, Changunarayan Temple, Kasthamandap Boutique Hotel, Casino place, Sukute Beach, Om Hospital, Fulchowki, Krishna Mandir, Shivapuri, Suryabinayak Ganesh Temple, Gokarna Golf Course, Labim Mall, Tu Teaching Hospital, Tribhuvan Internation Airport, Daman, Babar Mahal Villas, Durbarmarg, Freak street, Buddhanilkantha, Birendra Park, Purple Haze RockBar, Eyeplex Mall, City Centre, Chisapani, Club Déjà vu, Kathmandu Boutique Hotel, Chandragiri Temple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The last resort, Nagdaha, Dharhara, Kapan Gumba, Nagpokhari, Gokarna Golf Course, Arushi Boutique hotel, Fulchowki, Durbar Square Patan, Eyeplex Mall, Kashmeeree jama masjid, Labim Mall, Bhadrakali Temple, Naya bus park, Godawari, Sherpa Mall, Kathmandu Fun Valley, Kamladi Ganeshthan Temple, Chandragiri Temple, Freak street, National museum, Embassy of Switzerland, Maitidevi Temple, Trisara, Birendra Park, Club Déjà vu, Royal Empire Boutique Hotel, Casino Royale, Chovar, Jamal, Indian Embassy, Suryabinayak Ganesh Temple, Bhaktapur Durbar Square, Nagarkot, Purple Haze RockBar, Lord Of The Drinks, Kalikasthan Temple, Nilbarahi, Narayanhiti palace museum, Babar Mahal Villas, Civil Service Hospital, Ason, Naxal, Civil Mall, Kasthamandap Boutique Hotel, Casino place, The millionaire's club and casino, Garden Of Dreams, Nepal police hospital, Whoopee land amusement park, Sukute Beach, Boudhanath Temple, Nepal Pavillion Inn, Bajrabarahi, Kamalpokhari, Durbarmarg, NewRoad, US embassy, Tribhuvan Internation Airport, Kathmandu Boutique Hotel, City Centre, Om Hospital, Pilot Baba Ashram, Casino Mahjong, Lazimpat, Buddhanilkantha, Mahadevsthan Temple, Dhulikhel Zipline, Sankha Park,,,,,
Bajrabarahi, Bhaktapur Durbar Square, Nepal Pavillion Inn, The millionaire's club and casino, Nepal mediciti Hospital, Shankhadhar Park, Chisapani, Bhasmashur Danda, Royal Empire Boutique Hotel, Godawari, Club Déjà vu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhasmashur Danda, Kathmandu Boutique Hotel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maitidevi Temple, Nagarkot, Nilbarahi, Bajrabarahi, Mahadevsthan Temple, Bhasmashur Danda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central Zoo, Bajrabarahi, Jamal, Eyeplex Mall, Kapan Gumba, Trisara, Dhulikhel Zipline, Ason, Naya bus park, Nepal police hospital, Durbar Square Patan, Boudhanath Temple, Babar Mahal Villas, Embassy of Germany, Shankhadhar Park, Nagdaha, Chandragiri hills, Civil Service Hospital, Sukute Beach, Casino place, Kathmandu Durbar Square, Birendra Park, Bhaktapur Durbar Square, Bhasmashur Danda, Pashupatinath Temple, Pilot Baba Ashram, Ratnapark, NewRoad, Nagarkot, Kamalpokhari, Thamel Market, Krishna Mandir, New Baneshwar, Daman, Purple Haze RockBar, Chovar, Club Déjà vu, Kalikasthan Temple, Sherpa Mall, Jhamshikhel, Labim Mall, Swayambunath Temple, Maya Manor Boutique Hotel, Nepal Pavillion Inn, Narayanhiti palace museum, Royal Nepal Golf Course, Chisapani, Mahadevsthan Temple, Dharhara, Godawari, Royal Empire Boutique Hotel, The last resort,,,,,,,,,,,,,,,,,,,,,,
Embassy of Germany, Krishna Mandir, Lainchour, Dhulikhel Zipline, Civil Service Hospital, Kasthamandap Boutique Hotel, Tu Teaching Hospital, Ghantaghar, City Centre, Bhaktapur Durbar Square, SiddhaPokhari, Kathmandu Funpark, Nepal mediciti Hospital, Nagpokhari, Godawari, Durbar Square Patan, Kamladi Ganeshthan Temple, Chandragiri Temple, Kalikasthan Temple, Club Platinium, Ratnapark, Durbarmarg, Casino place, Shivapuri, 1Durbar Mall, Purple Haze RockBar, Buddhanilkantha, Narayanhiti palace museum, Central Zoo, Kathmandu Boutique Hotel, Nagarkot, Royal Nepal Golf Course, Tribhuvan Park, Tribhuvan Internation Airport, British Embassy, Casino Royale, Changunarayan Temple, Pashupatinath Temple, Bajrabarahi, Trisara, Bhasmashur Danda, National history Museum, NewRoad, Kapan Gumba, Maya Manor Boutique Hotel, RaniPokhari, Fulchowki, Nilbarahi, Civil Mall, Pilot Baba Ashram, Daman, Om Hospital, The millionaire's club and casino, Gokarna Golf Course, Kathmandu Fun Valley, Naya bus park, Kashmeeree jama masjid, Garden Of Dreams, Mahadevsthan Temple, Ason, Lazimpat, Sukute Beach, Kasthamandap, Boudhanath Temple, Indian Embassy, Eyeplex Mall, Jamal, Chandragiri hills, Champadevi,,,,,
Freak street, Eyeplex Mall, Tribhuvan Internation Airport, Daman, Embassy of Switzerland, Naxal, Kapan Gumba, Nepal police hospital, Taudaha, Nagpokhari, Ghantaghar, Nagarkot, Central Zoo, Krishna Mandir, Garden Of Dreams, Jhamshikhel, Kathmandu Durbar Square, Dhulikhel Zipline, Jamal, Dharhara, Purple Haze RockBar, RaniPokhari, Ratnapark, Trisara, Thamel Market, Durbar Square Patan, Jame Masjid, City Centre, Sukute Beach, Whoopee land amusement park, British Embassy, Bhasmashur Danda, Champadevi, Kathmandu Boutique Hotel, Shankhadhar Park, NewRoad, Shivapuri, Casino place, Pilot Baba Ashram, Durbarmarg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Civil Mall, Chovar, Sankha Park, Pashupatinath Temple, Ason, Nilbarahi, Sukute Beach, Godawari, Dhulikhel Zipline, Arushi Boutique hotel, Tribhuvan Internation Airport, Naxal, Maitidevi Temple, Santaneshwor Mahadev, Freak street, 1Durbar Mall, Sherpa Mall, The last resort, Royal Empire Boutique Hotel, Nagpokhari, City Centre, Kathmandu Durbar Square, Lazimpat, Kasthamandap Boutique Hotel, Embassy of Switzerland, Kapan Gumba, Club Déjà vu, Dharhara, Jame Masjid, Nagarkot, Birendra Park, British Embassy, Trisara, Casino place, The millionaire's club and casino, Chandragiri hills, Maya Manor Boutique Hotel, Whoopee land amusement park, Club Platinium, Jawlakhel, Kashmeeree jama masjid, Boudhanath Temple, Durbar Square Patan, National history Museum, Purple Haze RockBar, Embassy of Japan, Fulchowki, Garden Of Dreams, Nepal police hospital, Embassy of Germany, Bajrabarahi, Kamladi Ganeshthan Temple, Babar Mahal Villas, Bhaktapur Durbar Square, Casino Mahjong, Changunarayan Temple,,,,,,,,,,,,,,,,,,
SiddhaPokhari, Durbarmarg, Birendra Park, Ratnapark, Naya bus park, Royal Empire Boutique Hotel, Casino place, Kashmeeree jama masjid, Central Zoo, Casino Mahjong, Champadevi, Nagdaha, Indian Embassy, Kathmandu Durbar Square, Chovar, Jame Masjid, Tribhuvan Internation Airport, Sankha Park, City Centre, Embassy of Switzerland, Casino Royale, Kamladi Ganeshthan Temple, NewRoad, Babar Mahal Villas, Nagarkot, Chandragiri Temple, Chandragiri hills, Shivapuri, Pashupatinath Temple, Kapan Gumba, Bajrabarahi, British Embassy, Lainchour, Jawlakhel, Ghantaghar, Kasthamandap Boutique Hotel, Kalikasthan Temple, Kathmandu Boutique Hotel, Chisapani, Thamel Market, Kamalpokhari, The millionaire's club and casino, Krishna Mandir, Shankhadhar Park, Buddhanilkantha, Nepal mediciti Hospital, Mahadevsthan Temple, Godawari, Nepal police hospital, Boudhanath Temple, Ason,,,,,,,,,,,,,,,,,,,,,,,
Military museum, Aviation Museum, Sankha Park, Bhasmashur Danda, Embassy of Japan, Labim Mall, Kasthamandap Boutique Hotel, Durbar Square Patan, Jhamshikhel, Buddhanilkantha, Kasthamandap, RaniPokhari, Trisara, The millionaire's club and casino, Shankhadhar Park, Durbarmarg, Club Déjà vu, National museum, Embassy of Switzerland, Ghantaghar, Dhulikhel Zipline, Tribhuvan Park, Nepal mediciti Hospital, Nepal Pavillion Inn, Club Platinium, The last resort, British Embassy, Central Zoo, Casino Royale, Narayanhiti palace museum, Kathmandu Fun Valley, National history Museum, Bajrabarahi, Bhaktapur Durbar Square, Kathmandu Durbar Square, Mahadevsthan Temple, Chisapani, Santaneshwor Mahadev, Sukute Beach, Kashmeeree jama masjid, Sherpa Mall, Casino Mahjong, Nagdaha, Royal Nepal Golf Course, Lainchour, Freak street, Nagpokhari, Changunarayan Temple, Dharhara,,,,,,,,,,,,,,,,,,,,,,,,,
Om Hospital, Sankha Park, Nepal mediciti Hospital, Sherpa Mall, Labim Mall, Bhadrakali Temple, Kasthamandap Boutique Hotel, Kamalpokhari, Narayanhiti palace museum, Purple Haze RockBar, The millionaire's club and casino, Tu Teaching Hospital, Kamladi Ganeshthan Temple, Casino place, Chisapani, Chandragiri Temple, Casino Mahjong, Shivapuri, The last resort, Whoopee land amusement park, Central Zoo, City Centre, Thamel Market, Pilot Baba Ashram, Kashmeeree jama masjid, Ratnapark, Daman, Champadevi, NewRoad, Club Déjà vu, Suryabinayak Ganesh Temple, Krishna Mandir, Buddhanilkantha, Bhaktapur Durbar Square, Kasthamandap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Embassy of Japan, Jame Masjid, Sankha Park, Kapan Gumba, Kamalpokhari, Naxal, Ratnapark, Nilbarahi, Kasthamandap, Chovar, Jawlakhel, Maya Manor Boutique Hotel, Durbarmarg, Whoopee land amusement park, Durbar Square Patan, Nagarkot, Chandragiri hills, Suryabinayak Ganesh Temple, Santaneshwor Mahadev, Nepal mediciti Hospital, Nagpokhari, Bhaktapur Durbar Square, Indian Embassy, Lazimpat, Champadevi, Shankhadhar Park, British Embassy, Chisapani, Nepal police hospital, Mahadevsthan Temple, Birendra Park, City Centre, Ason, Aviation Museum, Royal Nepal Golf Course, National history Museum, Pilot Baba Ashram, The millionaire's club and casino, Bhasmashur Danda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kasthamandap, Kathmandu Boutique Hotel, Durbarmarg, Purple Haze RockBar, Daman, Casino Royale, Kathmandu Durbar Square, Tu Teaching Hospital, Boudhanath Temple, Kashmeeree jama masjid, Ratnapark, Narayanhiti palace museum, Chisapani, Lainchour, Kapan Gumba, Babar Mahal Villas, Nilbarahi, Thamel Market, Jamal, Indian Embassy, Jhamshikhel, Arushi Boutique hotel, RaniPokhari, Fulchowki, 1Durbar Mall, Durbar Square Patan, New Baneshwar, Chovar, Ason, Bajrabarahi, Chandragiri hills, Naya bus park, Nagdaha, Kasthamandap Boutique Hotel, Labim Mall, Jawlakhel, Suryabinayak Ganesh Temple, Bhaktapur Durbar Square, Dhulikhel Zipline, Casino Mahjong, Tribhuvan Park, Maya Manor Boutique Hotel, Pashupatinath Temple, The millionaire's club and casino, Nagarkot, Nepal police hospital, Shivapuri, Military museum, The last resort, Shankhadhar Park, Nagpokhari, British Embassy, Swayambunath Temple, Mahadevsthan Temple,,,,,,,,,,,,,,,,,,,,
Lainchour, Nilbarahi, Embassy of Germany, Ghantaghar, Whoopee land amusement park, Taudaha, Chandragiri Temple, Jamal, Changunarayan Temple, Club Déjà vu, Babar Mahal Villas, Kathmandu Fun Valley, Nagarkot, Maya Manor Boutique Hotel, Shivapuri, Casino place, Nagdaha, Freak street, Garden Of Dreams, Nepal Pavillion Inn, Nepal police hospital, Champadevi, Mahadevsthan Temple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mahadevsthan Temple, Nepal mediciti Hospital, Godawari, Chandragiri hills, Casino place, Garden Of Dreams, Civil Service Hospital, New Baneshwar, Jawlakhel, Tribhuvan Internation Airport, Nagdaha, City Centre, Ason, Lazimpat, Bhaktapur Durbar Square, Kathmandu Boutique Hotel, Nepal Pavillion Inn, Dhulikhel Zipline, Nilbarahi, Jhamshikhel, Chisapani, Kathmandu Funpark, SiddhaPokhari, Kathmandu Fun Valley, Daman, Buddhanilkantha, Civil Mall, Jamal, Embassy of Switzerland, Jame Masjid, Changunarayan Temple, 1Durbar Mall, Kasthamandap, Shivapuri, British Embassy, Chandragiri Temple, Santaneshwor Mahadev, Bhasmashur Danda, Indian Embassy, Durbar Square Patan, Pashupatinath Temple, Tribhuvan Park, Taudaha, Royal Nepal Golf Course, Sankha Park, Labim Mall, Kathmandu Durbar Square, Shankhadhar Park, Sherpa Mall, Central Zoo, Durbarmarg, Military museum, Dharhara, Casino Royale,,,,,,,,,,,,,,,,,,,,
Bhaktapur Durbar Square, Lord Of The Drinks, Dhulikhel Zipline, Bajrabarahi, Mahadevsthan Temple, Boudhanath Temple, Buddhanilkantha, Sherpa Mall, Labim Mall, Durbarmarg, Lazimpat, Kathmandu Funpark, Chisapani, Aviation Museum, Fulchowki, Eyeplex Mall, Whoopee land amusement park, Bhadrakali Temple, Kashmeeree jama masjid, Maitidevi Temple, Club Déjà vu, Swayambunath Temple, Chovar, NewRoad, Casino Mahjong, Krishna Mandir, Ratnapark, The last resort, Pilot Baba Ashram, SiddhaPokhari, Central Zoo, Durbar Square Patan, Indian Embassy, Freak street, Military museum, Jawlakhel, Ghantaghar, Kathmandu Fun Valley, Embassy of Japan, Royal Empire Boutique Hotel, Kasthamandap Boutique Hotel, Arushi Boutique hotel, Shivapuri, Kasthamandap, Ason, City Centre, Suryabinayak Ganesh Temple, Lainchour, Nagpokhari, Maya Manor Boutique Hotel, Om Hospital, National history Museum, Casino place, Kathmandu Boutique Hotel, Santaneshwor Mahadev, Birendra Park, Tribhuvan Internation Airport, Taudaha, Royal Nepal Golf Course, Tribhuvan Park, Sankha Park,,,,,,,,,,,,,
